STATES,1999,2003,2011,2015,2019,ESTATES,E99,E03,E11,E15,E19
ABIA,535918,769167,1188333,401049,344471,ABI,535.92,769.17,1188.33,401.05,344.47
ADAMAWA,845107,994033,907706,661210,860756,ADA,845.11,994.03,907.71,661.21,860.76
AKWA IBOM,883278,1308326,1232395,1028551,605140,AKW,883.28,1308.33,1232.4,1028.55,605.14
ANAMBRA,833178,897245,1157239,703409,625035,ANA,833.18,897.25,1157.24,703.41,625.04
BAUCHI,1176541,1739506,1610094,1039775,1061955,BAU,1176.54,1739.51,1610.09,1039.78,1061.96
BAYELSA,610032,742917,506693,371739,335856,BAY,610.03,742.92,506.69,371.74,335.86
BENUE,1252957,1248897,1047709,703131,763872,BEN,1252.96,1248.9,1047.71,703.13,763.87
BORNO,915975,1336480,1177646,515008,955205,BOR,915.98,1336.48,1177.65,515.01,955.21
CROSSRIVER,876156,1238175,726341,465906,446046,CRO,876.16,1238.18,726.34,465.91,446.05
DELTA,816574,1171867,1398579,1284848,882254,DEL,816.57,1171.87,1398.58,1284.85,882.25
EBONYI,345921,807767,502890,393337,379394,EBO,345.92,807.77,502.89,393.34,379.39
EDO,679784,1118322,621192,522785,599228,EDO,679.78,1118.32,621.19,522.79,599.23
EKITI,713690,424056,261858,309445,393709,EKI,713.69,424.06,261.86,309.45,393.71
ENUGU,835586,1144887,814009,585632,451408,ENU,835.59,1144.89,814.01,585.63,451.41
FCT,99022,274620,398094,316015,451408,FCT,99.02,274.62,398.09,316.02,451.41
GOMBE,844539,1010175,7700179,473444,580649,GOM,844.54,1010.18,7700.18,473.44,580.65
IMO,736106,1052885,1409850,731921,542777,IMO,736.11,1052.89,1409.85,731.92,542.78
JIGAWA,548596,1147952,1140766,1071889,1149922,JIG,548.6,1147.95,1140.77,1071.89,1149.92
KADUNA,1676029,2192248,2569963,1650201,1709005,KAD,1676.03,2192.25,2569.96,1650.2,1709.01
KANO,904713,2339792,2673228,2172447,1964751,KAN,904.71,2339.79,2673.23,2172.45,1964.75
KASTINA,1193397,1711212,1639532,1481714,1619185,KAS,1193.4,1711.21,1639.53,1481.71,1619.19
KEBBI,512229,879826,924099,715122,803755,KEB,512.23,879.83,924.1,715.12,803.76
KOGI,984710,898692,561782,439287,553496,KOG,984.71,898.69,561.78,439.29,553.5
KWARA,659598,624695,414754,461401,486254,KWA,659.6,624.7,414.75,461.4,486.25
LAGOS,1751981,1939191,1945044,1495975,1156590,LAG,1751.98,1939.19,1945.04,1495.98,1156.59
NASSARAWA,597008,741289,694527,521641,599399,NAS,597.01,741.29,694.53,521.64,599.4
NIGER,871130,1052789,1019167,844683,896976,NIG,871.13,1052.79,1019.17,844.68,896.98
OGUN,475904,1365367,543715,559613,605938,OGU,475.9,1365.37,543.72,559.61,605.94
ONDO,801797,995084,486837,582435,586827,OND,801.8,995.08,486.84,582.44,586.83
OSUN,794639,783914,512714,663373,731882,OSU,794.64,783.91,512.71,663.37,731.88
OYO,921178,1083806,863544,928606,891080,OYO,921.18,1083.81,863.54,928.61,891.08
PLATEAU,672442,1120931,1411117,1000692,1062862,PLA,672.44,1120.93,1411.12,1000.69,1062.86
RIVERS,1565603,2171215,1854116,1584768,666585,RIV,1565.6,2171.22,1854.12,1584.77,666.59
SOKOTO,354427,1017849,909808,876369,925940,SOK,354.43,1017.85,909.81,876.37,925.94
TARABA,871039,923603,739065,607716,741564,TAR,871.04,923.6,739.07,607.72,741.56
YOBE,311578,643388,622115,491767,586137,YOB,311.58,643.39,622.12,491.77,586.14
ZAMFARA,380079,1106567,942679,780179,597224,ZAM,380.08,1106.57,942.68,780.18,597.22
